#separator:tab
#html:true
#guid column:1
Ke[$Fd_Z1R	欢迎来到 Kaishi 1.5k zh-CH！（1.2.2 版）					"<br>「Kaishi (開始)」是一款模块化的日语词汇牌组，旨在为初学者提供舒适而现代的 Anki 体验。<br>您可以轻松修改本牌组，以满足您的个性化日语学习目标。<br>您可以在<a href=""https://github.com/maimemo/kaishi-zh-cn"" target=""_blank"">这个页面</a>上查看所有详情。牌组内的插图均来自 <a href=""https://www.irasutoya.com/"" target=""_blank"">Irasutoya</a>。<br><br> 在该页面上，您将了解到如何启用音调重音显示、更改高亮词汇的颜色，以及包含书写牌组在内的其他多种自定义选项。<br><br>阅读完毕后，请随时暂停（甚至删除）此卡片。"	祝您的日语学习之旅一帆风顺！						0			
dk;IvSA6}~	私	わたし	我（郑重、通用）	私[わたし]	[sound:私_ワタシ━_0_NHK-2016.mp3]	<b>私</b>はアンです。	我是安。	<b>私[わたし]</b>はアンです。	[sound:JLPT_Tango_N5_0001.mp3]	也可以读作「わたくし」（正式）和「あたし」（女性用）。<br>还有更罕见的读音。	"ワ<span style=""display:inline-block;position:relative;""><span style=""display:inline;"">タシ</span><span style=""border-color:currentColor;display:block;user-select:none;pointer-events:none;position:absolute;top:0.1em;left:0;right:0;height:0;border-top-width:0.1em;border-top-style:solid;""></span></span>"		19	"<img alt=""自己紹介のイラスト（男性） | かわいいフリー素材集 いらすとや"" src=""jikosyoukai_man-0f017c07b9f1048ff29830827e8503a6984504f6.webp"">"		
bjMX:e&F`B	あなた	あなた	你（通常用于不认识对方时）	あなた	[sound:あなた_アナ＼タ_2_NHK-2016.mp3]	<b>あなた</b>はトムさんですか。	您是汤姆桑吗？	<b>あなた</b>はトムさんですか。	[sound:JLPT_Tango_N5_0005.mp3]		"ア<span style=""display:inline-block;position:relative;padding-right:0.1em;margin-right:0.1em;""><span style=""display:inline;"">ナ</span><span style=""border-color:currentColor;display:block;user-select:none;pointer-events:none;position:absolute;top:0.1em;left:0;right:0;height:0;border-top-width:0.1em;border-top-style:solid;right:-0.1em;height:0.4em;border-right-width:0.1em;border-right-style:solid;""></span></span>タ"		136	"<img alt=""人差し指で押す人のイラスト（男性）"" src=""pose_touch_hitosashiyubi_man.webp"">"		
E1^8=V/a5U	さん	さん	桑	さん	[sound:さん_サ＼ン_1_NHK-2016.mp3]	あなたはトム<b>さん</b>ですか。	你是汤姆桑吗？	あなたはトム<b>さん</b>ですか。	[sound:JLPT_Tango_N5_0005.mp3]	最常见的中性礼貌尊称。有点类似于在英语姓名前使用“M.”。	"<span style=""display:inline-block;position:relative;padding-right:0.1em;margin-right:0.1em;""><span style=""display:inline;"">サ</span><span style=""border-color:currentColor;display:block;user-select:none;pointer-events:none;position:absolute;top:0.1em;left:0;right:0;height:0;border-top-width:0.1em;border-top-style:solid;right:-0.1em;height:0.4em;border-right-width:0.1em;border-right-style:solid;""></span></span>ン*"	如果名字有重音，さん和所有其他敬语的发音都是低的：高橋さん → たか＼はしさん；而如果名字是平板型，所有敬语也是平的：平田さん就是ひらたさん￣。	35	"<img alt=""立っている男性のイラスト（ポーズ） | かわいいフリー素材集 いらすとや"" src=""stand1_front05_man.webp"">"		
CdP6dtX[5V	彼	かれ	他（代指男性）	彼[かれ]	[sound:彼_カ＼レ_1_NHK-2016.mp3]	<b>彼</b>はトムさんです。	他是汤姆桑。	<b>彼[かれ]</b>はトムさんです。	[sound:JLPT_Tango_N5_0006.mp3]		"<span style=""display:inline-block;position:relative;padding-right:0.1em;margin-right:0.1em;""><span style=""display:inline;"">カ</span><span style=""border-color:currentColor;display:block;user-select:none;pointer-events:none;position:absolute;top:0.1em;left:0;right:0;height:0;border-top-width:0.1em;border-top-style:solid;right:-0.1em;height:0.4em;border-right-width:0.1em;border-right-style:solid;""></span></span>レ"		150	"<img src=""couple_okoru_woman.webp"">"		
cAM@Jyp#Pj	好き	すき	喜欢，喜爱	好[す]き	[sound:d7fc47445da76bf992a10e581da01ba9-0fba83bd67a3dc41ed108b722008eb47b879a343.mp3]	私はワインが<b>好き</b>です。	我喜欢葡萄酒。	私[わたし]はワインが<b>好[す]き</b>です。	[sound:fe1250584407c2a9b5499098ec358022-292b7d8c38187415a03e45ff4f21ec25989bc12b.mp3]		"<span style=""color: royalblue;"">ス</span><span style=""display:inline-block;position:relative;padding-right:0.1em;margin-right:0.1em;""><span style=""display:inline;"">キ</span><span style=""border-color:currentColor;display:block;user-select:none;pointer-events:none;position:absolute;top:0.1em;left:0;right:0;height:0;border-top-width:0.1em;border-top-style:solid;right:-0.1em;height:0.4em;border-right-width:0.1em;border-right-style:solid;""></span></span>"		186	"<img src=""idol_koisuru_girl_woman.webp"">"		
G}vEuF>jmf	人	ひと	人；指一个人或人物。	人[ひと]	[sound:90806b952a90a8a3d4a670af736cd2c2-aff81c948016ff060fca09d5405316fa6bd38a55.mp3]	あの<b>人</b>はいい人です。	那个人是个好人。	あの<b>人[ひと]</b>はいい 人[ひと]です。	[sound:JLPT_Tango_N5_0589-02.mp3]		"ヒ<span style=""display:inline-block;position:relative;""><span style=""display:inline;"">ト</span><span style=""border-color:currentColor;display:block;user-select:none;pointer-events:none;position:absolute;top:0.1em;left:0;right:0;height:0;border-top-width:0.1em;border-top-style:solid;""></span></span>・ヒ<span style=""display:inline-block;position:relative;padding-right:0.1em;margin-right:0.1em;""><span style=""display:inline;"">ト</span><span style=""border-color:currentColor;display:block;user-select:none;pointer-events:none;position:absolute;top:0.1em;left:0;right:0;height:0;border-top-width:0.1em;border-top-style:solid;right:-0.1em;height:0.4em;border-right-width:0.1em;border-right-style:solid;""></span></span>"	修饰时为ひと＼，不修饰时为ひと￣。注意在这种情况下，あの人是あの＼ひと。这是一种例外，その＼ひと也是。	71	"<img alt=""部屋着を着た人のイラスト（女性） | かわいいフリー素材集 いらすとや"" src=""fashion_sweat_jersey_woman.webp"">"		
Ezh(5PPcz|	いい	いい	好的；善良的；优秀的。	いい	[sound:いい_イ＼ー_1_NHK-2016.mp3]	あの人は<b>いい</b>人です。	那个人是个好人。	あの 人[ひと]は<b>いい</b> 人[ひと]です。	[sound:JLPT_Tango_N5_0589-02.mp3]		"<span style=""display:inline-block;position:relative;padding-right:0.1em;margin-right:0.1em;""><span style=""display:inline;"">イ</span><span style=""border-color:currentColor;display:block;user-select:none;pointer-events:none;position:absolute;top:0.1em;left:0;right:0;height:0;border-top-width:0.1em;border-top-style:solid;right:-0.1em;height:0.4em;border-right-width:0.1em;border-right-style:solid;""></span></span>イ"		37	"<img alt=""親指を立てている人のイラスト（女性）"" src=""good_woman.webp"">"		
nCq1+omzi/	人	じん	表示某国的人，指具体国籍的人。	人[じん]	[sound:人_ジ＼ン_1_NHK-2016.mp3]	私はイギリス<b>人</b>です。	我是英国人。	私[わたし]はイギリス<b>人[じん]</b>です。	[sound:JLPT_Tango_N5_0072.mp3]	一个添加在国家名称后的后缀，用来表示来自该国家的人。	"<span style=""display:inline-block;position:relative;padding-right:0.1em;margin-right:0.1em;""><span style=""display:inline;"">ジ</span><span style=""border-color:currentColor;display:block;user-select:none;pointer-events:none;position:absolute;top:0.1em;left:0;right:0;height:0;border-top-width:0.1em;border-top-style:solid;right:-0.1em;height:0.4em;border-right-width:0.1em;border-right-style:solid;""></span></span>ン*"	作为后缀，在“人”之前会发生下降，因此是イギリス＼人。日本人是一个例外：（にほんじ＼ん）。	71	"<img alt=""部屋着を着た人のイラスト（女性） | かわいいフリー素材集 いらすとや"" src=""fashion_sweat_jersey_woman.webp"">"		
J&-O*M|7R=	日本語	にほんご	日语；日本的语言	日本[にほん] 語[ご]	[sound:日本語_ニホンコ゚━_0_NHK-2016.mp3]	私は<b>日本語</b>を勉強しています。	我在学习日语。	私[わたし]は<b>日本[にほん] 語[ご]</b>を 勉[べん] 強[きょう]しています。	[sound:6e20ba5b1e5139fec3b8438b7d14bc15-ad2d22a7e9f5b8cb06e78654c82d381d10c6f683.mp3]		"ニ<span style=""display:inline-block;position:relative;""><span style=""display:inline;"">ホンコ<span style=""color: red;"">°</span></span><span style=""border-color:currentColor;display:block;user-select:none;pointer-events:none;position:absolute;top:0.1em;left:0;right:0;height:0;border-top-width:0.1em;border-top-style:solid;""></span></span>"		5442	"<img src=""study_nihongo.webp"">"		
